,Epsilon,Guarda,Tiempo,Iteraciones,Diferencia
1638,1e-08,eigen_value,1483035140.0,15906.0,7.031411909316776e-11
1639,1e-09,eigen_value,1631139572.0,17306.0,8.539643237340244e-11
1640,1.0,vector_delta,298941534.0,4566.0,18336.06656238639
1641,0.1,vector_delta,287242329.0,4360.0,3637.6740731890113
1642,0.01,vector_delta,157445928.0,2304.0,206.4631252241209
1643,0.001,vector_delta,256423920.0,3814.0,0.8840363294823506
1644,0.0001,vector_delta,330105687.0,4967.0,0.008584337409923624
1645,1e-05,vector_delta,453093936.0,6811.0,8.39726545240485e-05
1646,1e-06,vector_delta,542140084.0,8260.0,8.219089905431298e-07
1647,1e-07,vector_delta,645173799.0,9805.0,7.853032090998635e-09
1648,1e-08,vector_delta,792334253.0,11741.0,5.194444246958696e-10
1649,1e-09,vector_delta,843082384.0,13218.0,4.613219803384361e-10
1650,1.0,eigen_value,590867956.0,5880.0,0.0025734812689555708
1651,0.1,eigen_value,691863360.0,7369.0,1.0745604482067794e-05
1652,0.01,eigen_value,893773432.0,9095.0,1.115061359666103e-07
1653,0.001,eigen_value,1122167994.0,10761.0,4.544465098954564e-08
1654,0.0001,eigen_value,1154944316.0,12384.0,1.2339971988684085e-09
1655,1e-05,eigen_value,1362905246.0,13940.0,1.0076982168705228e-07
1656,1e-06,eigen_value,1487299132.0,15362.0,9.024040348304396e-10
1657,1e-07,eigen_value,1579950251.0,16683.0,5.250771874520943e-09
1658,1e-08,eigen_value,1710390814.0,18030.0,7.58778198800547e-09
1659,1e-09,eigen_value,1821617962.0,19408.0,1.8772763191177156e-09
1660,1.0,vector_delta,298779103.0,4578.0,21807.096162634956
1661,0.1,vector_delta,295912042.0,4446.0,2620.386055601508
1662,0.01,vector_delta,161819830.0,2375.0,60.35140208443861
1663,0.001,vector_delta,194645032.0,2896.0,0.8807054820959405
1664,0.0001,vector_delta,300054265.0,4333.0,0.007931513805255476
1665,1e-05,vector_delta,392452048.0,6019.0,7.924768515316539e-05
1666,1e-06,vector_delta,492587888.0,7547.0,2.5475198306235127e-06
1667,1e-07,vector_delta,582358539.0,8843.0,0.011653232929949011
1668,1e-08,vector_delta,676898871.0,10286.0,0.011653211935335795
1669,1e-09,vector_delta,756576445.0,11544.0,0.00023875615011141992
1670,1.0,eigen_value,505596547.0,5302.0,0.009887989601291822
1671,0.1,eigen_value,638456713.0,6725.0,5.181600192415092e-05
1672,0.01,eigen_value,770459402.0,8173.0,2.5976631488910938e-06
1673,0.001,eigen_value,894397089.0,9417.0,0.0001617304207986081
1674,0.0001,eigen_value,1022974025.0,10872.0,0.00016394061209850207
1675,1e-05,eigen_value,1132241204.0,12072.0,3.9179497820507336e-08
1676,1e-06,eigen_value,1303330728.0,13675.0,1.5177634780237924e-05
1677,1e-07,eigen_value,1391785647.0,14854.0,5.0375115316566576e-05
1678,1e-08,eigen_value,1514573712.0,16068.0,0.0003285641501846637
1679,1e-09,eigen_value,1614222970.0,17187.0,1.7012611095009735e-05
1680,1.0,vector_delta,371887249.0,5592.0,19567.596032096237
1681,0.1,vector_delta,292192756.0,4368.0,3298.257338056886
1682,0.01,vector_delta,88674202.0,1243.0,228.44054362922463
1683,0.001,vector_delta,192660907.0,2714.0,0.5702280181626955
1684,0.0001,vector_delta,285406848.0,4295.0,0.005325108269667425
1685,1e-05,vector_delta,372378382.0,5662.0,5.0172275563795666e-05
1686,1e-06,vector_delta,464914497.0,7059.0,4.97799062912918e-07
1687,1e-07,vector_delta,552858957.0,8596.0,5.111858030204531e-09
1688,1e-08,vector_delta,646315296.0,10062.0,1.4098802125772635e-10
1689,1e-09,vector_delta,767463100.0,11600.0,1.2730410503536404e-10
1690,1.0,eigen_value,486308130.0,5029.0,0.0013206927429484949
1691,0.1,eigen_value,614573847.0,6509.0,1.3732342883940874e-05
1692,0.01,eigen_value,802848094.0,7947.0,1.3023601297845743e-07
1693,0.001,eigen_value,903845862.0,9366.0,1.2534819404663721e-09
1694,0.0001,eigen_value,1043487549.0,10976.0,1.6065413888100012e-10
1695,1e-05,eigen_value,1186220581.0,12482.0,1.2701136142823087e-10
1696,1e-06,eigen_value,1320982394.0,13884.0,1.2751968370139365e-10
1697,1e-07,eigen_value,1428764919.0,15197.0,1.2603493360074936e-10
