,K,alpha,k,accuracy,precision,recall,n,norm
571,5.0,20.0,5.0,0.6333333333333333,0.6644871794871794,0.6261904761904762,300.0,5.0
572,5.0,20.0,5.0,0.48333333333333334,0.41087301587301583,0.46845238095238095,300.0,5.0
573,5.0,20.0,5.0,0.6,0.669047619047619,0.578015873015873,300.0,5.0
574,5.0,20.0,5.0,0.45,0.3939393939393939,0.42202380952380947,300.0,5.0
575,5.0,20.0,5.0,0.5833333333333334,0.5860528360528361,0.545,300.0,6.0
576,5.0,20.0,5.0,0.6333333333333333,0.6644871794871794,0.6261904761904762,300.0,6.0
577,5.0,20.0,5.0,0.5,0.41801587301587306,0.4809523809523809,300.0,6.0
578,5.0,20.0,5.0,0.6,0.6657359307359306,0.578015873015873,300.0,6.0
579,5.0,20.0,5.0,0.43333333333333335,0.3812121212121212,0.40773809523809523,300.0,6.0
580,5.0,20.0,5.0,0.5666666666666667,0.4872252747252747,0.5283333333333333,300.0,7.0
581,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,300.0,7.0
582,5.0,20.0,5.0,0.48333333333333334,0.4069047619047619,0.46845238095238095,300.0,7.0
583,5.0,20.0,5.0,0.5833333333333334,0.6574025974025973,0.5669047619047618,300.0,7.0
584,5.0,20.0,5.0,0.43333333333333335,0.41,0.40773809523809523,300.0,7.0
585,5.0,20.0,5.0,0.55,0.47211538461538466,0.5116666666666667,300.0,8.0
586,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,300.0,8.0
587,5.0,20.0,5.0,0.48333333333333334,0.41166666666666674,0.46845238095238095,300.0,8.0
588,5.0,20.0,5.0,0.6,0.6769264069264068,0.5835714285714285,300.0,8.0
589,5.0,20.0,5.0,0.43333333333333335,0.38246031746031744,0.40773809523809523,300.0,8.0
590,5.0,20.0,5.0,0.5666666666666667,0.4957750582750583,0.5316666666666667,300.0,9.0
591,5.0,20.0,5.0,0.65,0.6708333333333333,0.6353571428571428,300.0,9.0
592,5.0,20.0,5.0,0.48333333333333334,0.4138888888888889,0.46845238095238095,300.0,9.0
593,5.0,20.0,5.0,0.6,0.6769264069264068,0.5835714285714285,300.0,9.0
594,5.0,20.0,5.0,0.43333333333333335,0.3745454545454545,0.4053571428571428,300.0,9.0
595,5.0,20.0,5.0,0.5666666666666667,0.4957750582750583,0.5316666666666667,300.0,10.0
596,5.0,20.0,5.0,0.6333333333333333,0.661904761904762,0.6186904761904761,300.0,10.0
597,5.0,20.0,5.0,0.5,0.42161255411255416,0.4809523809523809,300.0,10.0
598,5.0,20.0,5.0,0.5833333333333334,0.6619264069264068,0.5724603174603174,300.0,10.0
599,5.0,20.0,5.0,0.45,0.378989898989899,0.42380952380952375,300.0,10.0
600,5.0,20.0,5.0,0.7,0.713939393939394,0.699047619047619,400.0,1.0
601,5.0,20.0,5.0,0.675,0.6925,0.665873015873016,400.0,1.0
602,5.0,20.0,5.0,0.6875,0.7285622710622711,0.6904761904761905,400.0,1.0
603,5.0,20.0,5.0,0.65,0.6531401931401932,0.6503571428571429,400.0,1.0
604,5.0,20.0,5.0,0.7625,0.7656135531135531,0.7548809523809522,400.0,1.0
605,5.0,20.0,5.0,0.7125,0.7183927183927183,0.712936507936508,400.0,2.0
606,5.0,20.0,5.0,0.7375,0.748510101010101,0.7297619047619047,400.0,2.0
607,5.0,20.0,5.0,0.675,0.7213797313797314,0.6693650793650793,400.0,2.0
608,5.0,20.0,5.0,0.7125,0.7311363636363636,0.7146428571428571,400.0,2.0
609,5.0,20.0,5.0,0.75,0.7807326007326008,0.7503174603174603,400.0,2.0
610,5.0,20.0,5.0,0.7,0.6979256854256854,0.6962698412698411,400.0,3.0
611,5.0,20.0,5.0,0.7,0.7049062049062049,0.6936507936507936,400.0,3.0
612,5.0,20.0,5.0,0.6875,0.7238400488400489,0.6893253968253968,400.0,3.0
613,5.0,20.0,5.0,0.725,0.7333874458874459,0.7271428571428571,400.0,3.0
614,5.0,20.0,5.0,0.75,0.7757326007326009,0.7461507936507937,400.0,3.0
615,5.0,20.0,5.0,0.6875,0.688998778998779,0.6796031746031745,400.0,4.0
616,5.0,20.0,5.0,0.6875,0.691969696969697,0.6825396825396826,400.0,4.0
617,5.0,20.0,5.0,0.6375,0.6575252525252525,0.6332539682539682,400.0,4.0
618,5.0,20.0,5.0,0.7125,0.7233225108225108,0.7188095238095238,400.0,4.0
619,5.0,20.0,5.0,0.75,0.7684598734598735,0.740595238095238,400.0,4.0
620,5.0,20.0,5.0,0.65,0.6523809523809523,0.6448809523809522,400.0,5.0
621,5.0,20.0,5.0,0.675,0.671969696969697,0.6682539682539682,400.0,5.0
622,5.0,20.0,5.0,0.65,0.6699764124764125,0.6457539682539681,400.0,5.0
623,5.0,20.0,5.0,0.6625,0.6704761904761904,0.6645238095238095,400.0,5.0
624,5.0,20.0,5.0,0.7625,0.7741558441558442,0.751706349206349,400.0,5.0
625,5.0,20.0,5.0,0.6375,0.6281746031746032,0.6337698412698411,400.0,6.0
626,5.0,20.0,5.0,0.675,0.6801748251748252,0.6682539682539682,400.0,6.0
627,5.0,20.0,5.0,0.6375,0.6582556332556333,0.6332539682539682,400.0,6.0
628,5.0,20.0,5.0,0.675,0.6844444444444444,0.6770238095238096,400.0,6.0
629,5.0,20.0,5.0,0.775,0.8147619047619049,0.7683730158730159,400.0,6.0
630,5.0,20.0,5.0,0.6375,0.6281746031746032,0.6337698412698411,400.0,7.0
631,5.0,20.0,5.0,0.6625,0.6722077922077923,0.6557539682539681,400.0,7.0
632,5.0,20.0,5.0,0.6375,0.6633349983349983,0.6332539682539682,400.0,7.0
633,5.0,20.0,5.0,0.65,0.6616883116883117,0.6478571428571429,400.0,7.0
634,5.0,20.0,5.0,0.775,0.8147619047619049,0.7683730158730159,400.0,7.0
635,5.0,20.0,5.0,0.65,0.6342352092352093,0.6462698412698412,400.0,8.0
636,5.0,20.0,5.0,0.65,0.6582792207792207,0.6414682539682539,400.0,8.0
637,5.0,20.0,5.0,0.6375,0.6633349983349983,0.6332539682539682,400.0,8.0
638,5.0,20.0,5.0,0.65,0.6616883116883117,0.6478571428571429,400.0,8.0
639,5.0,20.0,5.0,0.7625,0.8074891774891775,0.751706349206349,400.0,8.0
640,5.0,20.0,5.0,0.6375,0.620901875901876,0.6296031746031746,400.0,9.0
641,5.0,20.0,5.0,0.65,0.6582792207792207,0.6414682539682539,400.0,9.0
642,5.0,20.0,5.0,0.65,0.6830319680319681,0.6457539682539681,400.0,9.0
643,5.0,20.0,5.0,0.6625,0.6783549783549784,0.6603571428571429,400.0,9.0
644,5.0,20.0,5.0,0.775,0.8173260073260075,0.7628174603174603,400.0,9.0
645,5.0,20.0,5.0,0.65,0.6375685425685427,0.6462698412698413,400.0,10.0
646,5.0,20.0,5.0,0.65,0.6513095238095239,0.6414682539682539,400.0,10.0
647,5.0,20.0,5.0,0.6375,0.6710064935064934,0.6332539682539682,400.0,10.0
648,5.0,20.0,5.0,0.6625,0.6783549783549784,0.6603571428571429,400.0,10.0
649,5.0,20.0,5.0,0.7625,0.8039926739926742,0.7461507936507935,400.0,10.0
650,5.0,20.0,5.0,0.78,0.8159324009324009,0.7809848484848485,500.0,1.0
651,5.0,20.0,5.0,0.71,0.7089285714285714,0.7023407148407148,500.0,1.0
652,5.0,20.0,5.0,0.75,0.753929403929404,0.747387334887335,500.0,1.0
653,5.0,20.0,5.0,0.81,0.8281460206460206,0.8125582750582749,500.0,1.0
654,5.0,20.0,5.0,0.77,0.7798971861471862,0.7676262626262627,500.0,1.0
655,5.0,20.0,5.0,0.78,0.8137196137196137,0.7843939393939394,500.0,2.0
656,5.0,20.0,5.0,0.76,0.76245670995671,0.7536441336441337,500.0,2.0
657,5.0,20.0,5.0,0.74,0.7377922077922079,0.7376748251748253,500.0,2.0
658,5.0,20.0,5.0,0.81,0.8266558441558441,0.8125582750582749,500.0,2.0
659,5.0,20.0,5.0,0.78,0.7930894105894106,0.7758838383838385,500.0,2.0
660,5.0,20.0,5.0,0.77,0.7923659673659674,0.7707828282828284,500.0,3.0
661,5.0,20.0,5.0,0.77,0.7788023088023088,0.7675330225330226,500.0,3.0
662,5.0,20.0,5.0,0.74,0.751013431013431,0.736478243978244,500.0,3.0
663,5.0,20.0,5.0,0.8,0.8190800865800867,0.8048659673659673,500.0,3.0
664,5.0,20.0,5.0,0.8,0.815556943056943,0.7967171717171716,500.0,3.0
665,5.0,20.0,5.0,0.75,0.774055944055944,0.748560606060606,500.0,4.0
666,5.0,20.0,5.0,0.77,0.7807720057720058,0.7661441336441337,500.0,4.0
667,5.0,20.0,5.0,0.8,0.8091142191142191,0.8023115773115774,500.0,4.0
