,K,alpha,k,accuracy,precision,recall
226,10.0,0.0,23.0,0.922,0.9277428431978094,0.9213232966621756
227,10.0,0.0,24.0,0.925,0.9304404321534288,0.9244840534311798
228,10.0,0.0,25.0,0.925,0.9306140950013253,0.9244593568775888
229,10.0,0.0,30.0,0.924,0.9297407987292147,0.9233344070369609
230,10.0,0.0,35.0,0.918,0.9242206810892408,0.9172493589717149
231,10.0,0.0,40.0,0.912,0.9182055689407257,0.9109987251749632
232,10.0,0.0,45.0,0.911,0.9191240456048639,0.9101797712675639
233,10.0,0.0,50.0,0.911,0.9191816409084173,0.9100455193978318
234,10.0,0.0,60.0,0.903,0.91257671482886,0.9018624101094593
235,10.0,0.0,70.0,0.899,0.9096684947847349,0.8976707255054036
236,10.0,0.0,80.0,0.893,0.9061413304423237,0.8917455615604375
237,10.0,0.0,90.0,0.89,0.9035434654867215,0.8886787378042514
238,10.0,0.0,1.0,0.942,0.9427565469040713,0.9415084432137208
239,10.0,0.0,2.0,0.921,0.9242533172491394,0.9201753096550107
240,10.0,0.0,3.0,0.935,0.9369865185368657,0.934887910426206
241,10.0,0.0,4.0,0.931,0.9348601274500823,0.9307344709690486
242,10.0,0.0,5.0,0.932,0.9353039444161431,0.9317592188985767
243,10.0,0.0,6.0,0.93,0.9341405317329097,0.9297845010032117
244,10.0,0.0,7.0,0.926,0.930633027396697,0.9255819990604779
245,10.0,0.0,8.0,0.918,0.9236181825866734,0.917410727120896
246,10.0,0.0,9.0,0.912,0.9184289743914341,0.9110598476091376
247,10.0,0.0,10.0,0.917,0.9236613013201062,0.9161535240267396
248,10.0,0.0,11.0,0.916,0.9233052554966326,0.9150331888244727
249,10.0,0.0,12.0,0.918,0.9250528198371579,0.917203788318998
250,10.0,0.0,13.0,0.914,0.921698546149532,0.9130475793323495
251,10.0,0.0,14.0,0.916,0.9231315630861943,0.9151502638276032
252,10.0,0.0,15.0,0.915,0.9226743090501293,0.9141808597103477
253,10.0,0.0,16.0,0.915,0.9223778793421943,0.9140499466190386
254,10.0,0.0,17.0,0.914,0.9218399261424814,0.9131967155010272
