,K,alpha,k,accuracy,precision,recall
673,10.0,21.0,3.0,0.87,"[1.         0.83333333 0.76470588 0.88888889 0.90909091 0.85714286
 0.9        0.77777778 0.875      1.        ]","[1.         1.         1.         0.88888889 1.         0.66666667
 1.         0.7        0.7        0.66666667]"
674,10.0,21.0,5.0,0.87,"[0.91666667 0.76923077 0.85714286 0.875      0.90909091 1.
 0.77777778 0.9        0.81818182 1.        ]","[1.         1.         0.92307692 0.77777778 1.         0.66666667
 0.77777778 0.9        0.9        0.66666667]"
675,10.0,21.0,8.0,0.88,"[1.         0.76923077 0.91666667 0.88888889 0.90909091 1.
 0.8        0.875      0.83333333 0.875     ]","[1.         1.         0.84615385 0.88888889 1.         0.66666667
 0.88888889 0.7        1.         0.77777778]"
676,10.0,21.0,13.0,0.88,"[1.         0.76923077 0.90909091 0.88888889 0.9        1.
 0.88888889 0.88888889 0.76923077 0.875     ]","[1.         1.         0.76923077 0.88888889 0.9        0.77777778
 0.88888889 0.8        1.         0.77777778]"
677,10.0,21.0,21.0,0.86,"[1.         0.71428571 0.90909091 0.88888889 0.9        1.
 0.8        0.875      0.83333333 0.77777778]","[1.         1.         0.76923077 0.88888889 0.9        0.66666667
 0.88888889 0.7        1.         0.77777778]"
678,10.0,21.0,34.0,0.85,"[1.         0.66666667 0.9        0.88888889 1.         1.
 0.8        0.88888889 0.81818182 0.7       ]","[1.         1.         0.69230769 0.88888889 0.9        0.66666667
 0.88888889 0.8        0.9        0.77777778]"
679,10.0,21.0,55.0,0.82,"[1.         0.66666667 0.9        0.88888889 0.88888889 0.85714286
 0.8        0.88888889 0.8        0.63636364]","[0.90909091 1.         0.69230769 0.88888889 0.8        0.66666667
 0.88888889 0.8        0.8        0.77777778]"
680,10.0,21.0,89.0,0.76,"[1.         0.52631579 1.         0.875      0.77777778 0.85714286
 0.77777778 0.875      0.7        0.58333333]","[0.81818182 1.         0.69230769 0.77777778 0.7        0.66666667
 0.77777778 0.7        0.7        0.77777778]"
681,10.0,21.0,144.0,0.7,"[1.         0.47619048 1.         0.85714286 0.7        0.8
 0.77777778 0.75       0.53846154 0.55555556]","[0.81818182 1.         0.69230769 0.66666667 0.7        0.44444444
 0.77777778 0.6        0.7        0.55555556]"
682,10.0,21.0,1.0,0.86,"[1.         0.9        1.         0.85714286 0.88888889 0.8
 0.72727273 0.90909091 0.77777778 0.75      ]","[0.81818182 0.9        0.92307692 0.66666667 0.8        0.88888889
 0.88888889 1.         0.77777778 0.9       ]"
683,10.0,21.0,2.0,0.89,"[0.81818182 0.9        1.         1.         0.81818182 0.88888889
 0.8        0.90909091 0.88888889 0.88888889]","[0.81818182 0.9        1.         0.77777778 0.9        0.88888889
 0.88888889 1.         0.88888889 0.8       ]"
684,10.0,21.0,3.0,0.89,"[1.         0.9        0.92307692 1.         0.81818182 0.9
 0.66666667 0.90909091 1.         0.9       ]","[0.81818182 0.9        0.92307692 0.77777778 0.9        1.
 0.88888889 1.         0.77777778 0.9       ]"
685,10.0,21.0,5.0,0.94,"[1.         0.90909091 1.         1.         1.         1.
 0.75       0.90909091 1.         0.90909091]","[0.90909091 1.         0.92307692 0.77777778 0.9        1.
 1.         1.         0.88888889 1.        ]"
686,10.0,21.0,8.0,0.91,"[1.         0.90909091 1.         0.875      1.         0.875
 0.66666667 0.90909091 1.         0.9       ]","[0.81818182 1.         1.         0.77777778 1.         0.77777778
 0.88888889 1.         0.88888889 0.9       ]"
687,10.0,21.0,13.0,0.89,"[1.         0.90909091 0.92307692 0.75       0.9        0.8
 0.88888889 0.90909091 1.         0.8       ]","[0.90909091 1.         0.92307692 0.66666667 0.9        0.88888889
 0.88888889 1.         0.88888889 0.8       ]"
688,10.0,21.0,21.0,0.87,"[0.9        0.9        1.         0.875      0.90909091 0.8
 0.72727273 0.90909091 1.         0.75      ]","[0.81818182 0.9        0.76923077 0.77777778 1.         0.88888889
 0.88888889 1.         0.77777778 0.9       ]"
689,10.0,21.0,34.0,0.89,"[0.9        0.90909091 0.91666667 0.875      0.90909091 1.
 0.72727273 1.         1.         0.75      ]","[0.81818182 1.         0.84615385 0.77777778 1.         0.77777778
 0.88888889 1.         0.88888889 0.9       ]"
690,10.0,21.0,55.0,0.83,"[0.9        0.76923077 0.90909091 0.875      0.83333333 0.875
 0.5        1.         1.         0.75      ]","[0.81818182 1.         0.76923077 0.77777778 1.         0.77777778
 0.55555556 0.9        0.77777778 0.9       ]"
691,10.0,21.0,89.0,0.77,"[0.81818182 0.6        0.8        0.85714286 0.71428571 1.
 0.55555556 1.         1.         0.66666667]","[0.81818182 0.9        0.61538462 0.66666667 1.         0.66666667
 0.55555556 0.9        0.77777778 0.8       ]"
692,10.0,21.0,144.0,0.75,"[0.9        0.52941176 0.8        0.85714286 0.71428571 1.
 0.55555556 1.         1.         0.61538462]","[0.81818182 0.9        0.61538462 0.66666667 1.         0.55555556
 0.55555556 0.9        0.66666667 0.8       ]"
693,10.0,21.0,1.0,0.9,"[0.90909091 0.90909091 0.92307692 0.875      1.         1.
 0.875      1.         0.7        0.83333333]","[1.         1.         1.         0.77777778 0.72727273 1.
 0.7        1.         0.77777778 1.        ]"
694,10.0,21.0,2.0,0.9,"[0.83333333 0.90909091 0.92307692 0.88888889 0.9        1.
 1.         1.         0.77777778 0.77777778]","[1.         1.         1.         0.88888889 0.81818182 1.
 0.8        1.         0.77777778 0.7       ]"
695,10.0,21.0,3.0,0.85,"[0.81818182 0.83333333 0.90909091 0.875      1.         0.9
 0.875      1.         0.7        0.71428571]","[0.9        1.         0.83333333 0.77777778 0.54545455 1.
 0.7        1.         0.77777778 1.        ]"
696,10.0,21.0,5.0,0.84,"[1.         0.83333333 0.9        0.88888889 0.83333333 0.81818182
 0.88888889 0.83333333 0.77777778 0.69230769]","[0.9        1.         0.75       0.88888889 0.45454545 1.
 0.8        1.         0.77777778 0.9       ]"
697,10.0,21.0,8.0,0.83,"[1.         0.83333333 0.90909091 0.875      0.71428571 0.81818182
 0.88888889 0.9        0.72727273 0.66666667]","[0.9        1.         0.83333333 0.77777778 0.45454545 1.
 0.8        0.9        0.88888889 0.8       ]"
698,10.0,21.0,13.0,0.86,"[1.         0.76923077 0.90909091 1.         0.83333333 0.9
 0.88888889 0.9        0.81818182 0.69230769]","[0.9        1.         0.83333333 0.88888889 0.45454545 1.
 0.8        0.9        1.         0.9       ]"
699,10.0,21.0,21.0,0.88,"[1.         0.71428571 0.90909091 1.         0.85714286 0.9
 0.88888889 1.         0.9        0.76923077]","[0.9        1.         0.83333333 0.88888889 0.54545455 1.
 0.8        0.9        1.         1.        ]"
700,10.0,21.0,34.0,0.83,"[0.81818182 0.66666667 0.88888889 1.         0.85714286 0.875
 0.88888889 1.         0.81818182 0.71428571]","[0.9        1.         0.66666667 0.88888889 0.54545455 0.77777778
 0.8        0.8        1.         1.        ]"
701,10.0,21.0,55.0,0.8,"[0.75       0.58823529 0.85714286 0.88888889 0.85714286 1.
 0.9        1.         0.72727273 0.76923077]","[0.9        1.         0.5        0.88888889 0.54545455 0.55555556
 0.9        0.9        0.88888889 1.        ]"
702,10.0,21.0,89.0,0.78,"[0.75       0.58823529 0.85714286 0.8        0.85714286 1.
 0.9        1.         0.72727273 0.71428571]","[0.9        1.         0.5        0.88888889 0.54545455 0.33333333
 0.9        0.9        0.88888889 1.        ]"
