,n,K,alpha,k,accuracy,precision,recall,tiempoTotal,unsure,time_pca,time_knn,p
59,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,72564011273.0,6967627.0,0.0
60,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,72803543464.0,6902283.0,0.0
61,500.0,50.0,13.0,5.0,0.7,0.6111111111111112,0.7777777777777778,3648043508646.0,0.0,72888011770.0,6801384.0,0.0
62,500.0,50.0,13.0,5.0,0.7,0.5,0.6666666666666666,3648043508646.0,0.0,72756958867.0,6832874.0,0.0
63,500.0,50.0,13.0,5.0,0.7,0.5,0.6666666666666666,3648043508646.0,0.0,72745896139.0,6903246.0,0.0
64,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,72601301666.0,6878419.0,0.0
65,500.0,50.0,13.0,5.0,0.6,0.5185185185185185,0.6666666666666666,3648043508646.0,0.0,72713373074.0,6897665.0,0.0
66,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,72692086265.0,6899860.0,0.0
67,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,73487442089.0,7172692.0,0.0
68,500.0,50.0,13.0,5.0,1.0,1.0,1.0,3648043508646.0,0.0,73179782610.0,6864542.0,0.0
69,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,73215161682.0,6873409.0,0.0
70,500.0,50.0,13.0,5.0,0.4,0.14814814814814814,0.3333333333333333,3648043508646.0,0.0,73385526124.0,7024712.0,0.0
71,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,73280875793.0,6870334.0,0.0
72,500.0,50.0,13.0,5.0,1.0,1.0,1.0,3648043508646.0,0.0,73205466052.0,6967204.0,0.0
73,500.0,50.0,13.0,5.0,0.7,0.6111111111111112,0.6666666666666666,3648043508646.0,0.0,73336782588.0,6957817.0,0.0
74,500.0,50.0,13.0,5.0,0.7,0.5555555555555556,0.6666666666666666,3648043508646.0,0.0,73369537711.0,7030505.0,0.0
75,500.0,50.0,13.0,5.0,0.9,0.8333333333333334,0.8888888888888888,3648043508646.0,0.0,72965464498.0,6955954.0,0.0
76,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,72911423554.0,6849164.0,0.0
77,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,72594117763.0,6979809.0,0.0
78,500.0,50.0,13.0,5.0,0.8,0.6666666666666666,0.7777777777777778,3648043508646.0,0.0,72628106051.0,6886443.0,0.0
79,500.0,50.0,13.0,5.0,1.0,1.0,1.0,3648043508646.0,0.0,72502620739.0,6818416.0,0.0
80,500.0,50.0,13.0,5.0,0.7,0.5625,0.6875,3648043508646.0,0.0,72419249826.0,6843964.0,0.0
81,500.0,50.0,13.0,5.0,0.7,0.5416666666666667,0.625,3648043508646.0,0.0,72539236316.0,6945104.0,0.0
82,500.0,50.0,13.0,5.0,0.6,0.4444444444444444,0.5,3648043508646.0,0.0,72451820296.0,6858784.0,0.0
83,500.0,50.0,13.0,5.0,0.7,0.5625,0.75,3648043508646.0,0.0,72389352256.0,6874963.0,0.0
84,500.0,50.0,13.0,5.0,0.9,0.9375,0.9375,3648043508646.0,0.0,72387457510.0,6881485.0,0.0
85,500.0,50.0,13.0,5.0,0.8,0.75,0.75,3648043508646.0,0.0,72433449972.0,6948991.0,0.0
86,500.0,50.0,13.0,5.0,0.9,0.7777777777777778,0.7777777777777778,3648043508646.0,0.0,72443871560.0,6864093.0,0.0
87,500.0,50.0,13.0,5.0,0.6,0.5625,0.5625,3648043508646.0,0.0,72534082913.0,6898996.0,0.0
88,500.0,50.0,13.0,5.0,0.8,0.6458333333333333,0.75,3648043508646.0,0.0,72847925078.0,6842150.0,0.0
89,500.0,50.0,13.0,5.0,0.8,0.6875,0.75,3648043508646.0,0.0,73059282274.0,6899348.0,0.0
90,500.0,50.0,13.0,5.0,1.0,1.0,1.0,3648043508646.0,0.0,73168866299.0,7089826.0,0.0
91,500.0,50.0,13.0,5.0,0.6,0.3958333333333333,0.5,3648043508646.0,0.0,73127703124.0,6969981.0,0.0
92,10000.0,2.0,13.0,5.0,0.9194,0.9151896429178026,0.9139031147584501,489451076072.0,0.0,214575379018.0,28956972381.0,0.0
93,10000.0,2.0,13.0,5.0,0.9178,0.913319793885448,0.9096400260848794,489451076072.0,0.0,214909950094.0,29046892253.0,0.0
94,10000.0,5.0,13.0,5.0,0.933,0.929020604983472,0.9279655123238812,1278339495930.0,0.0,235734115278.0,18148666558.0,0.0
95,10000.0,5.0,13.0,5.0,0.933,0.9306772455415246,0.9292351724084882,1278339495930.0,0.0,234883010127.0,18232487393.0,0.0
96,10000.0,5.0,13.0,5.0,0.927,0.9203638848454394,0.9199360211576317,1278339495930.0,0.0,235519961737.0,18148825766.0,0.0
97,10000.0,5.0,13.0,5.0,0.9195,0.9186263667570775,0.9140990015981123,1278339495930.0,0.0,235435706136.0,18278544923.0,0.0
98,10000.0,5.0,13.0,5.0,0.928,0.9219809759593043,0.9200312924786489,1278339495930.0,0.0,237813918293.0,18325756187.0,0.0
99,10000.0,10.0,13.0,5.0,0.931,0.9299448156907094,0.9244843717807603,2557706234433.0,0.0,244516960189.0,10300209172.0,0.0
100,10000.0,10.0,13.0,5.0,0.936,0.9304497226055752,0.9327775684856532,2557706234433.0,0.0,244001401552.0,10199876013.0,0.0
101,10000.0,10.0,13.0,5.0,0.941,0.9423794397159317,0.9380136947692375,2557706234433.0,0.0,242489379122.0,10262851275.0,0.0
102,10000.0,10.0,13.0,5.0,0.933,0.9290310531867415,0.9280880434454344,2557706234433.0,0.0,243078506295.0,10194085673.0,0.0
103,10000.0,10.0,13.0,5.0,0.937,0.9315976178769727,0.9325840273202181,2557706234433.0,0.0,243437191275.0,10274996880.0,0.0
104,10000.0,10.0,13.0,5.0,0.922,0.913672701508212,0.9118273502425664,2557706234433.0,0.0,245104170097.0,10260543593.0,0.0
105,10000.0,10.0,13.0,5.0,0.933,0.9337068304476284,0.9294041024194569,2557706234433.0,0.0,245130004576.0,10290598252.0,0.0
106,10000.0,10.0,13.0,5.0,0.912,0.9104551552245815,0.9038852668376354,2557706234433.0,0.0,244811502791.0,10221717732.0,0.0
107,10000.0,10.0,13.0,5.0,0.924,0.9236763148545943,0.9154879337290676,2557706234433.0,0.0,242417109045.0,10213223683.0,0.0
108,10000.0,10.0,13.0,5.0,0.939,0.9336654572564453,0.9316084811777551,2557706234433.0,0.0,242842824780.0,10196759788.0,0.0
109,10000.0,25.0,13.0,5.0,0.9375,0.9407843219686445,0.9316215073061458,6367754444628.0,0.0,247472261462.0,4346053035.0,0.0
110,10000.0,25.0,13.0,5.0,0.93,0.926355091684574,0.9241926844301686,6367754444628.0,0.0,248989720092.0,4421998556.0,0.0
111,10000.0,25.0,13.0,5.0,0.9225,0.9161475740243549,0.915825903791244,6367754444628.0,0.0,249795098345.0,4351373612.0,0.0
112,10000.0,25.0,13.0,5.0,0.925,0.9219539541635225,0.9208519563782721,6367754444628.0,0.0,249086774779.0,4396750362.0,0.0
113,10000.0,25.0,13.0,5.0,0.945,0.9395767586824498,0.9407348262611421,6367754444628.0,0.0,248135483845.0,4347413931.0,0.0
114,10000.0,25.0,13.0,5.0,0.9425,0.9487097962901766,0.9406400498505761,6367754444628.0,0.0,247472809132.0,4368564641.0,0.0
