,K,alpha,k,accuracy,precision,recall,n
201,5.0,20.0,10.0,0.325,0.2742857142857143,0.3083333333333333,200.0
202,5.0,20.0,11.0,0.3,0.258015873015873,0.2833333333333333,200.0
203,5.0,20.0,12.0,0.275,0.253015873015873,0.2583333333333333,200.0
204,5.0,20.0,13.0,0.275,0.2569047619047619,0.2583333333333333,200.0
205,5.0,20.0,14.0,0.275,0.2566666666666667,0.2583333333333333,200.0
206,5.0,20.0,15.0,0.25,0.24444444444444446,0.2333333333333333,200.0
207,5.0,20.0,16.0,0.25,0.24444444444444446,0.2333333333333333,200.0
208,5.0,20.0,17.0,0.225,0.21194444444444444,0.20833333333333331,200.0
209,5.0,20.0,18.0,0.25,0.22444444444444445,0.2333333333333333,200.0
210,5.0,20.0,19.0,0.225,0.20210678210678212,0.21333333333333332,200.0
211,5.0,20.0,20.0,0.275,0.2381818181818182,0.2666666666666667,200.0
212,5.0,20.0,21.0,0.25,0.13318181818181818,0.2416666666666667,200.0
213,5.0,20.0,22.0,0.225,0.12555555555555556,0.20833333333333334,200.0
214,5.0,20.0,23.0,0.25,0.13499999999999998,0.2416666666666667,200.0
215,5.0,20.0,24.0,0.225,0.09833333333333333,0.22166666666666668,200.0
216,5.0,20.0,1.0,0.275,0.24484848484848482,0.26,200.0
217,5.0,20.0,2.0,0.225,0.11493506493506493,0.205,200.0
218,5.0,20.0,3.0,0.275,0.20690476190476192,0.26,200.0
219,5.0,20.0,4.0,0.325,0.24,0.305,200.0
220,5.0,20.0,5.0,0.4,0.3761904761904762,0.38,200.0
221,5.0,20.0,6.0,0.4,0.3761904761904762,0.38,200.0
222,5.0,20.0,7.0,0.4,0.35119047619047616,0.38,200.0
223,5.0,20.0,8.0,0.425,0.4177777777777777,0.40499999999999997,200.0
224,5.0,20.0,9.0,0.375,0.3486263736263736,0.355,200.0
225,5.0,20.0,10.0,0.375,0.3464285714285714,0.355,200.0
226,5.0,20.0,11.0,0.375,0.33195970695970695,0.355,200.0
227,5.0,20.0,12.0,0.35,0.314047619047619,0.335,200.0
228,5.0,20.0,13.0,0.325,0.3086580086580087,0.315,200.0
229,5.0,20.0,14.0,0.375,0.332034632034632,0.36,200.0
230,5.0,20.0,15.0,0.375,0.3333333333333333,0.36,200.0
231,5.0,20.0,16.0,0.4,0.3441666666666666,0.38,200.0
232,5.0,20.0,17.0,0.325,0.2688888888888889,0.305,200.0
233,5.0,20.0,18.0,0.325,0.266984126984127,0.31,200.0
234,5.0,20.0,19.0,0.35,0.276984126984127,0.335,200.0
235,5.0,20.0,20.0,0.3,0.24801587301587302,0.29500000000000004,200.0
236,5.0,20.0,21.0,0.325,0.2702380952380953,0.315,200.0
237,5.0,20.0,22.0,0.275,0.24035714285714285,0.27,200.0
238,5.0,20.0,23.0,0.3,0.24952380952380954,0.29500000000000004,200.0
239,5.0,20.0,24.0,0.25,0.22777777777777777,0.24500000000000002,200.0
240,5.0,20.0,1.0,0.5833333333333334,0.6126282051282053,0.5691666666666666,300.0
241,5.0,20.0,2.0,0.5333333333333333,0.5292063492063492,0.5033333333333334,300.0
242,5.0,20.0,3.0,0.65,0.6308730158730159,0.6325000000000001,300.0
243,5.0,20.0,4.0,0.6333333333333333,0.6554834054834056,0.6075,300.0
244,5.0,20.0,5.0,0.65,0.657558275058275,0.6208333333333333,300.0
245,5.0,20.0,6.0,0.6,0.48010101010101014,0.5666666666666667,300.0
246,5.0,20.0,7.0,0.65,0.6808158508158508,0.6241666666666668,300.0
247,5.0,20.0,8.0,0.5666666666666667,0.5625582750582752,0.5291666666666667,300.0
248,5.0,20.0,9.0,0.5833333333333334,0.5736729936729936,0.5458333333333334,300.0
249,5.0,20.0,10.0,0.6,0.6333333333333333,0.5625,300.0
250,5.0,20.0,11.0,0.5666666666666667,0.6107142857142858,0.5291666666666667,300.0
251,5.0,20.0,12.0,0.55,0.5081235431235431,0.5041666666666667,300.0
252,5.0,20.0,13.0,0.5666666666666667,0.5583333333333333,0.5325,300.0
253,5.0,20.0,14.0,0.5666666666666667,0.6060389610389609,0.5241666666666667,300.0
254,5.0,20.0,15.0,0.5666666666666667,0.5636363636363637,0.5241666666666667,300.0
255,5.0,20.0,16.0,0.5666666666666667,0.5571794871794872,0.5325,300.0
256,5.0,20.0,17.0,0.5666666666666667,0.5542249417249417,0.5325,300.0
257,5.0,20.0,18.0,0.55,0.5021794871794871,0.5075000000000001,300.0
258,5.0,20.0,19.0,0.55,0.5042249417249417,0.5075000000000001,300.0
259,5.0,20.0,20.0,0.55,0.5191491841491841,0.5075000000000001,300.0
260,5.0,20.0,21.0,0.48333333333333334,0.45979020979020985,0.445,300.0
261,5.0,20.0,22.0,0.5,0.47115384615384615,0.4616666666666667,300.0
262,5.0,20.0,23.0,0.5166666666666667,0.477542735042735,0.47833333333333333,300.0
263,5.0,20.0,24.0,0.5166666666666667,0.4933616383616384,0.47833333333333333,300.0
264,5.0,20.0,1.0,0.6166666666666667,0.6355952380952381,0.6095238095238095,300.0
265,5.0,20.0,2.0,0.6166666666666667,0.6728571428571428,0.5961904761904762,300.0
266,5.0,20.0,3.0,0.7,0.7260714285714286,0.6828571428571428,300.0
267,5.0,20.0,4.0,0.65,0.6575216450216451,0.6420238095238096,300.0
268,5.0,20.0,5.0,0.6333333333333333,0.6480952380952381,0.6295238095238095,300.0
269,5.0,20.0,6.0,0.6166666666666667,0.6160930735930735,0.6021428571428571,300.0
270,5.0,20.0,7.0,0.5833333333333334,0.5776190476190476,0.5753571428571428,300.0
271,5.0,20.0,8.0,0.5666666666666667,0.5547222222222221,0.5463095238095238,300.0
272,5.0,20.0,9.0,0.5833333333333334,0.6445088245088245,0.5564285714285714,300.0
273,5.0,20.0,10.0,0.6166666666666667,0.6674999999999999,0.593095238095238,300.0
274,5.0,20.0,11.0,0.6166666666666667,0.6587121212121212,0.598095238095238,300.0
275,5.0,20.0,12.0,0.5666666666666667,0.6113919413919414,0.5522619047619048,300.0
276,5.0,20.0,13.0,0.55,0.5743073593073593,0.5272619047619048,300.0
277,5.0,20.0,14.0,0.5333333333333333,0.5602231102231101,0.5072619047619047,300.0
278,5.0,20.0,15.0,0.55,0.5297619047619048,0.521547619047619,300.0
279,5.0,20.0,16.0,0.5666666666666667,0.5238095238095238,0.5257142857142857,300.0
280,5.0,20.0,17.0,0.5,0.4833333333333334,0.46559523809523806,300.0
281,5.0,20.0,18.0,0.4666666666666667,0.41380952380952374,0.4364285714285714,300.0
282,5.0,20.0,19.0,0.5,0.4891036414565827,0.46976190476190477,300.0
283,5.0,20.0,20.0,0.5,0.4746428571428571,0.46976190476190477,300.0
284,5.0,20.0,21.0,0.4666666666666667,0.41380952380952374,0.4364285714285714,300.0
285,5.0,20.0,22.0,0.45,0.4340819964349376,0.42630952380952386,300.0
286,5.0,20.0,23.0,0.45,0.4252941176470588,0.42214285714285715,300.0
287,5.0,20.0,24.0,0.45,0.44378787878787873,0.42630952380952386,300.0
288,5.0,20.0,1.0,0.5333333333333333,0.5214682539682539,0.5244047619047619,300.0
289,5.0,20.0,2.0,0.48333333333333334,0.44549117549117556,0.4544047619047619,300.0
290,5.0,20.0,3.0,0.5,0.535952380952381,0.47011904761904766,300.0
291,5.0,20.0,4.0,0.5833333333333334,0.6102561327561328,0.5660714285714287,300.0
292,5.0,20.0,5.0,0.5333333333333333,0.47700577200577204,0.5092857142857142,300.0
293,5.0,20.0,6.0,0.5666666666666667,0.5884554334554334,0.5476190476190477,300.0
294,5.0,20.0,7.0,0.5666666666666667,0.6237662337662337,0.550952380952381,300.0
295,5.0,20.0,8.0,0.5833333333333334,0.6453138528138528,0.5751190476190475,300.0
296,5.0,20.0,9.0,0.5166666666666667,0.5083882783882785,0.5051190476190477,300.0
297,5.0,20.0,10.0,0.5,0.44957431457431457,0.4817857142857143,300.0
298,5.0,20.0,11.0,0.48333333333333334,0.43182234432234423,0.4651190476190476,300.0
